year,singapore_death_rate,singapore_birth_rate,singapore_population,ice_land_death_rate,ice_land_birth_rate,ice_land_population,argentina_death_rate,argentina_birth_rate,argentina_population,australia_death_rate,australia_birth_rate,australia_population,malaysia_death_rate,malaysia_birth_rate,malaysia_population,japan_death_rate,japan_birth_rate,japan_population,UAE_death_rate,UAE_birth_rate,UAE_population,new_zealand_death_rate,new_zealand_birth_rate,new_zealand_population,france_death_rate,france_birth_rate,france_population,germany_death_rate,germany_birth_rate,germany_population,brazil_death_rate,brazil_birth_rate,brazil_population,cuba_death_rate,cuba_birth_rate,cuba_population
2001,4.132,10.476,4121341,6.066,14.379,285245,7.549,18.983,37480492,6.708,12.813,19248146,4.435,21.523,23542522,8.143,9.345,127065736,2.047,16.525,3454204,7.185,14.315,3889587,8.998,12.991,59014776,10.175,8.913,81514570,6.303,19.271,178211890,7.318,12.171,11139130
2002,4.198,11.39,4176799,6.328,14.123,287799,7.518,18.756,37885024,6.858,12.855,19475842,4.43,20.091,24142448,8.239,9.213,127301740,1.987,16.401,3633665,7.156,13.657,3948582,9.019,12.744,59372784,10.339,8.694,81443420,6.329,18.574,180476690,7.436,12.262,11170054
2003,4.27,10.586,4226417,6.334,14.352,289806,7.864,18.453,38278164,6.715,12.724,19699004,4.43,19.339,24739420,8.523,8.961,127502350,1.661,16.43,3813452,7.018,13.853,4019944,9.235,12.652,59728260,10.505,8.541,81346810,6.313,17.85,182629280,7.567,11.829,11199215
2004,4.236,10.325,4270407,6.277,14.511,292364,7.48,18.352,38668796,6.662,12.747,19925060,4.488,18.4,25333250,8.631,8.843,127671290,1.613,16.094,3993346,6.983,14.097,4081415,8.466,12.678,60108436,10.084,8.507,81266670,6.258,17.632,184722050,7.695,11.031,11225296
2005,4.113,10.261,4344645,6.245,14.401,297037,7.423,18.353,39070504,6.54,13.06,20171732,4.516,17.722,25923540,9.114,8.629,127798376,1.563,15.206,4280995,6.578,13.895,4132782,8.701,12.664,60510080,10.227,8.295,81212170,6.106,17.335,186797340,7.806,10.446,11246113
2006,4.065,10.322,4486581,6.322,14.525,304086,7.369,18.194,39476856,6.597,13.236,20467032,4.603,17.308,26509416,9.131,8.784,127902170,1.449,14.484,4898956,6.771,14.091,4179986,8.472,12.922,60919150,10.135,8.165,81177816,6.123,16.852,188820690,7.907,9.752,11260636
2007,4.038,10.267,4663262,6.293,14.534,311859,7.748,18.005,39876116,6.731,13.924,20830832,4.705,17.077,27092604,9.34,8.787,128006424,1.229,14.24,5872640,6.75,15.038,4221495,8.495,12.667,61329380,10.202,8.302,81183830,6.119,16.372,190779460,8.001,9.921,11269890
2008,4.033,10.101,4838404,6.297,15.123,317722,7.467,17.812,40273770,6.739,14.099,21247876,4.817,17.36,27664304,9.635,8.789,128077630,1.011,14.08,6988687,6.845,15.031,4260235,8.622,12.787,61721004,10.419,8.31,81217490,6.106,15.943,192672320,8.096,10.83,11276607
2009,4.009,9.617,5010707,6.28,15.754,318809,7.41,17.849,40684344,6.555,13.808,21660898,4.96,17.348,28217208,9.649,8.63,128117040,0.867,13.9,7992658,6.744,14.51,4302884,8.673,12.705,62093300,10.547,8.14,81260620,6.155,15.715,194517550,8.191,11.487,11283184
2010,4.017,9.118,5163585,6.358,15.409,318346,7.661,17.87,41100124,6.498,13.681,22019166,5.009,17.002,28717728,10.12,8.555,128105430,0.795,13.665,8481775,6.554,14.588,4346345,8.665,12.785,62444570,10.582,8.319,81325090,6.199,15.492,196353500,8.297,11.417,11290420
